"X","Y"
-52.1365032,-32.0536817
-52.1397631,-32.057499
-52.1603923,-32.0606197
-52.1261497,-32.0539474
-52.1258697,-32.0538298
-52.1368058,-32.0531859
-52.1378182,-32.0536269
-52.1407422,-32.0520834
-52.1407422,-32.0520834
-52.1163273,-32.0472901
-52.1215647,-32.052141
-52.1226158,-32.0525732
-52.1208638,-32.0518529
-52.1401266,-32.0518186
-52.1401266,-32.0518186
-52.1426608,-32.0498795
-52.1422482,-32.0471064
-52.1377783,-32.0467935
-52.1389015,-32.0472593
-52.1348539,-32.0553773
-52.1353866,-32.054433
-52.1344547,-32.0561014
-52.1407048,-32.0577521
-52.1434356,-32.0532465
-52.1413514,-32.0513722
-52.1389031,-32.0522842
-52.140468,-32.0529592
-52.1377808,-32.0569696
-52.1430204,-32.0483179
-52.1418898,-32.0479731
-52.1443552,-32.0487558
-52.1427112,-32.0519668
-52.1431033,-32.0512145
-52.1443552,-32.0487558
-52.1450347,-32.0474611
-52.1464226,-32.060494
-52.1369733,-32.0591491
-52.1378182,-32.0536269
-52.1384275,-32.0520871
-52.1438188,-32.0524893
-52.1442135,-32.0517095
-52.1416816,-32.0580147
-52.1411973,-32.0563196
-52.1402571,-32.0560689
-52.139388,-32.0558312
-52.1388901,-32.055713
-52.1401877,-32.0537487
-52.1379951,-32.0531545
-52.1364935,-32.0525384
-52.138541,-32.0532955
-52.1370594,-32.0527705
-52.141019,-32.0539751
-52.0811237,-32.0418253
-52.0869105,-32.0305989
-52.0871041,-32.0421753
-52.0851893,-32.0467932
-52.0850605,-32.0433333
-52.0848692,-32.0364436
-52.0824737,-32.0341987
-52.0801705,-32.0462652
-52.0804928,-32.030988
-52.0840332,-32.0324322
-52.0863719,-32.0415773
-52.0893004,-32.0425677
-52.0849022,-32.0468436
-52.0844642,-32.0452295
-52.0844642,-32.0452295
-52.0887393,-32.039317
-52.0903563,-32.0397847
-52.0861359,-32.0387009
-52.0853378,-32.0453102
-52.0831258,-32.0480649
-52.0811873,-32.0476041
